1500-01	1500_A
bisexual-01	bisexual_A,bi_A
bitch-01	bitch_V
bite-01	bite_N,bite_V,biting_N
bitter-01	bitter_A
bitter-02	bitter_A
bivouac-01	bivouac_V
bizarre-01	bizarre_A
blab-01	blab_V
blabber-01	blabber_V
black-04	black_A
black-05	black_A
black-06	black_A
black-07	black_A
black_out-02	black_out_V
black_out-03	black_out_V
blackberry-01	blackberry_V
blacken-01	blacken_V,blackened_A
blackle-01	blackle_V
blackline-01	blackline_V
blacklist-01	blacklist_V
blackmail-01	blackmail_V
blacksmith-01	blacksmithing_N,blacksmith_N,blacksmith_V
blacktop-01	blacktop_V
blame-01	blame_V,blame_N
blanch-01	blanch_V
blanch-02	blanch_V
blanchable-03	blanchable_A
bland-01	bland_A
blank-01	blank_V
blank-02	blank_A
blanket-01	blanket_V
blanking-03	blanking_N
blare-01	blare_V
blaspheme-01	blaspheme_V
blast-01	blast_V,blast_N
blast-02	blast_V,blast_N
blast-04	blast_V
blast-05	blast_V,blast_N
blast-07	blast_N
blast_away-03	blast_away_V
blast_off-06	blast_off_V
blat-01	blat_V
blather-01	blather_V,blathering_N
blaze-01	blaze_V,blaze_N
blaze-02	blaze_V
bleach-01	bleach_V
bleak-01	bleak_A
bleat-01	bleat_V
bleat-02	bleat_V
bleat-03	bleat_V
bleed-01	bleed_V,bleeding_N
bleed-02	bleed_V
bleed-03	bleed_V
bleed_off-04	bleed_off_V
bleed_out-05	bleed_out_V
blemish-01	blemish_N,blemish_V
blend-01	blend_V
bless-01	blessing_N,bless_V
blight-01	blight_V
blind-01	blind_V,blinded_A
blind-02	blind_A
blindfold-01	blindfold_V
blindside-01	blindside_V
blink-01	blink_V
blip-01	blip_V
blister-01	blister_V,blistering_N
blister-02	blister_V
blitz-01	blitz_N,blitz_V
blizzard-01	blizzard_V,blizzard_N
bloat-01	bloated_A,bloat_V,bloating_N
block-01	block_N,blockage_N,blocking_N,block_V
block_up-02	block_up_V
blockade-01	blockade_V,blockade_N
blog-01	blogging_N,blog_V
blonde-01	blonde_A
blood-01	blood_V
blood-02	blooded_A,blood_V
bloodshed-04	bloodshed_N
bloody-01	bloody_V
bloom-01	bloom_V,bloom_N,blooming_N
blossom-01	blossom_V,blossoming_N
blot_out-01	blot_out_V
blow-01	blow_V,blow_N,blowing_N
blow-02	blow_V,blowing_N
blow-03	blowing_N,blow_V,blowjob_N
blow-04	blow_V
blow-08	blow_N,blow_V,blowing_N
blow-09	blow_V,blowing_N
blow-10	blow_V,blowing_N
blow-11	blowing_N,blow_V
blow-13	blow_V
blow-14	blow_N
blow_out-07	blow_out_V,blowing_out_N
blow_over-12	blow_over_V
blow_up-05	blowing_up_N,blow_up_V
blow_up-06	blowing_up_N,blow_up_V
blubber-01	blubber_V
bludgeon-01	bludgeon_V
blue-01	blue_A
bluff-01	bluff_V
blunder-01	blunder_V
blunder-02	blunder_V
blunt-01	blunt_A,blunt_V,blunting_N
blunt-02	blunt_A
blur-01	blurring_N,blur_V,blurry_A
blurt_out-01	blurt_out_V
blush-01	blush_V
bluster-01	bluster_V
board-01	board_V,boarding_N
board-02	board_V
board-03	board_V
board-05	boarding_N,board_V
board_up-04	board_up_V
boast-01	boast_N,boast_V
boat-01	boat_V,boating_N
bob-01	bob_V
bobsled-01	bobsled_V
bode-01	bode_V
bodyslam-01	bodyslam_V,body-slam_V,body_slam_V,bodyslam_N,body-slam_N,body_slam_N
bog_down-01	bog_down_V
boggle-01	boggle_V
boggy-01	boggy_A
boil-01	boil_V,boil_N
boil_down-03	boil_down_V
boil_over-02	boil_over_V
bold-02	bold_A
bold-03	bold_A
bolshevize-01	bolshevize_V
bolster-01	bolster_V
bolt-01	bolt_V
bolt-02	bolt_V
bolus-01	bolus_V
bomb-01	bombing_N,bomb_V
bomb-02	bomb_V
bombard-01	bombard_V,bombardment_N
bond-01	bond_V,bond_N,bonding_N
bond-02	bond_V
bone-01	bone_V
bone_up-02	bone_up_V
bonk-01	bonk_V
boo-01	booing_N,boo_V
boob_out-01	boob_out_V
boogie-01	boogie_V
book-01	book_V
book-03	booking_N,book_V,booked_A
book_up-02	book_up_V
bookmark-01	bookmark_V,bookmarking_N
boom-01	boom_V
boom-02	boom_N,boom_V
boom_out-03	boom_out_V
boost-01	boost_V,boost_N
